Date,Home_Team,Away_Team,HT_Runs,HT_Hits,HT_Errors,AT_Runs,AT_Hits,AT_Errors
2012-03-02,Hoyas,Nationals,0,4,4,3,5,0
2012-03-02,Mocs,Tigers,1,4,3,11,11,0
2012-03-02,Bulls,Yankees,0,4,2,11,14,0
2012-03-02,Mariners,Athletics,8,9,2,5,10,1
2012-03-03,Tigers,Braves,2,10,0,0,1,0
2012-03-03,Yankees,Phillies,8,11,3,5,8,0
2012-03-03,Pirates,Blue Jays,1,3,0,7,9,2
2012-03-03,Rays,Twins,3,9,2,7,13,0
2012-03-03,Nationals,Astros,1,8,1,3,5,0
2012-03-03,Huskies,Red Sox (SS),0,3,1,25,23,0
2012-03-03,D-backs (SS),Giants,9,,,6,,
2012-03-03,Indians,Reds,6,12,1,6,12,2
2012-03-03,Athletics,Mariners,9,16,1,2,5,1
2012-03-03,D-backs (SS),Rockies,1,8,0,1,4,0
2012-03-03,Eagles,Red Sox (SS),3,6,0,6,7,1
2012-03-04,Braves,Tigers,3,9,1,18,14,3
2012-03-04,Astros,Nationals,10,8,0,2,11,2
2012-03-04,Twins (SS),Rays,5,10,0,3,7,0
2012-03-04,Phillies,Yankees,4,12,4,7,9,0
2012-03-04,Blue Jays,Pirates,8,8,0,5,9,3
2012-03-04,Twins (SS),Red Sox,3,7,1,8,9,0
2012-03-04,Royals,Rangers,6,11,0,1,5,3
2012-03-04,Reds,Indians,8,13,0,6,9,3
2012-03-04,Athletics,Cubs,12,10,2,10,13,1
2012-03-04,Padres,Mariners,4,6,3,5,9,3
2012-03-04,Giants (SS),Brewers,1,,,1,,
2012-03-04,Giants (SS),D-backs,11,,,1,,
2012-03-05,Braves,Astros,10,13,1,5,11,2
2012-03-05,Orioles (SS),Rays,3,8,0,1,3,1
2012-03-05,Marlins,Cardinals,4,7,1,3,6,0
2012-03-05,Yankees,Phillies,3,10,0,9,10,1
2012-03-05,Blue Jays,Tigers,2,10,0,4,7,1
2012-03-05,Angels,Athletics (SS),9,11,1,1,6,1
2012-03-05,Indians,Reds,7,9,0,12,14,0
2012-03-05,Dodgers,White Sox,6,11,0,4,6,0
2012-03-05,Athletics (SS),Cubs,8,11,1,7,13,0
2012-03-05,Mariners,Padres,13,15,4,7,12,1
2012-03-05,Rangers,Royals,6,11,1,7,13,1
2012-03-05,D-backs,Rockies,5,7,4,6,9,2
2012-03-05,Nationals,Mets,3,8,0,1,8,2
2012-03-05,Red Sox,Twins,10,11,0,2,7,2
2012-03-05,Pirates,Orioles (SS),10,18,2,3,6,2
2012-03-05,Brewers,Giants,7,,,3,,
2012-02-29,Seminoles,Phillies,1,6,1,6,7,1
2012-03-02,Hoyas,Nationals,0,4,4,3,5,0
2012-03-02,Mocs,Tigers,1,4,3,11,11,0
2012-03-02,Bulls,Yankees,0,4,2,11,14,0
2012-03-02,Mariners,Athletics,8,9,2,5,10,1
2012-03-03,Tigers,Braves,2,10,0,0,1,0
2012-03-03,Yankees,Phillies,8,11,3,5,8,0
2012-03-03,Pirates,Blue Jays,1,3,0,7,9,2
2012-03-03,Rays,Twins,3,9,2,7,13,0
2012-03-03,Nationals,Astros,1,8,1,3,5,0
2012-03-03,Huskies,Red Sox (SS),0,3,1,25,23,0
2012-03-03,D-backs (SS),Giants,9,,,6,,
2012-03-03,Indians,Reds,6,12,1,6,12,2
2012-03-03,Athletics,Mariners,9,16,1,2,5,1
2012-03-03,D-backs (SS),Rockies,1,8,0,1,4,0
2012-03-03,Eagles,Red Sox (SS),3,6,0,6,7,1
2012-03-04,Braves,Tigers,3,9,1,18,14,3
2012-03-04,Astros,Nationals,10,8,0,2,11,2
2012-03-04,Twins (SS),Rays,5,10,0,3,7,0
2012-03-04,Phillies,Yankees,4,12,4,7,9,0
2012-03-04,Blue Jays,Pirates,8,8,0,5,9,3
2012-03-04,Twins (SS),Red Sox,3,7,1,8,9,0
2012-03-04,Royals,Rangers,6,11,0,1,5,3
2012-03-04,Reds,Indians,8,13,0,6,9,3
2012-03-04,Athletics,Cubs,12,10,2,10,13,1
2012-03-04,Padres,Mariners,4,6,3,5,9,3
2012-03-04,Giants (SS),Brewers,1,,,1,,
2012-03-04,Giants (SS),D-backs,11,,,1,,
2012-03-05,Braves,Astros,10,13,1,5,11,2
2012-03-05,Orioles (SS),Rays,3,8,0,1,3,1
2012-03-05,Marlins,Cardinals,4,7,1,3,6,0
2012-03-05,Yankees,Phillies,3,10,0,9,10,1
2012-03-05,Blue Jays,Tigers,2,10,0,4,7,1
2012-03-05,Angels,Athletics (SS),9,11,1,1,6,1
2012-03-05,Indians,Reds,7,9,0,12,14,0
2012-03-05,Dodgers,White Sox,6,11,0,4,6,0
2012-03-05,Athletics (SS),Cubs,8,11,1,7,13,0
2012-03-05,Mariners,Padres,13,15,4,7,12,1
2012-03-05,Rangers,Royals,6,11,1,7,13,1
2012-03-05,D-backs,Rockies,5,7,4,6,9,2
2012-03-05,Nationals,Mets,3,8,0,1,8,2
2012-03-05,Red Sox,Twins,10,11,0,2,7,2
2012-03-05,Pirates,Orioles (SS),10,18,2,3,6,2
2012-03-05,Brewers,Giants,7,,,3,,
2012-03-06,Tigers,Marlins (SS),3,8,1,1,5,2
2012-03-06,Twins,Rays,3,6,2,2,8,2
2012-03-06,Yankees,Pirates,4,8,2,7,16,1
2012-03-06,Mets (SS),Astros,1,5,2,4,9,0
2012-03-06,Phillies,Blue Jays,7,9,0,0,7,2
2012-03-06,Nationals,Braves,5,9,2,2,8,0
2012-03-06,Cardinals,Mets (SS),6,9,2,8,9,0
2012-03-06,Orioles,Red Sox,4,6,1,5,8,0
2012-03-06,White Sox,Angels,2,9,0,6,10,1
2012-03-06,Reds,Mariners,6,6,1,8,9,1
2012-03-06,Rockies,Cubs,4,11,0,11,14,0
2012-03-06,Royals (SS),Indians,2,10,0,3,6,0
2012-03-06,Athletics,Brewers,6,14,0,0,2,4
2012-03-06,Padres,Royals (SS),4,15,3,7,10,1
2012-03-06,Giants,Dodgers,8,,,4,,
2012-03-06,Rangers,D-backs,16,19,0,3,5,2
2012-03-06,University of Miami,Marlins (SS),6,7,1,7,11,2
2012-03-07,Braves,Tigers,1,5,1,5,7,0
2012-03-07,Red Sox,Blue Jays (SS),3,7,2,3,7,1
2012-03-07,Astros,Phillies,10,15,0,3,5,1
2012-03-07,Twins,Orioles,0,6,0,6,13,0
2012-03-07,Mets,Marlins (SS),7,11,0,0,4,1
2012-03-07,Cardinals,Nationals,3,13,1,3,5,1
2012-03-07,Rays,Yankees,4,10,0,0,4,2
2012-03-07,Blue Jays (SS),Pirates,8,15,0,6,12,0
2012-03-07,Cubs,Royals,6,15,1,4,9,3
2012-03-07,Rockies,Giants,6,,,8,,
2012-03-07,Dodgers,Athletics,3,4,0,3,8,1
2012-03-07,Brewers,White Sox,10,13,1,6,11,2
2012-03-07,Padres (SS),Reds,5,10,0,0,3,0
2012-03-07,Mariners,Angels,6,12,1,4,10,2
2012-03-07,Rangers,Padres (SS),6,9,0,2,5,2
2012-03-07,Indians,D-backs,10,11,0,2,4,0
2012-03-07,Panthers,Marlins (SS),1,6,1,5,8,1
2012-03-08,Braves,Orioles,1,6,0,2,6,0
2012-03-08,Red Sox,Cardinals,3,7,1,9,10,0
2012-03-08,Tigers,Rays (SS),8,15,2,1,3,0
2012-03-08,Astros,Nationals,0,3,0,8,11,0
2012-03-08,Yankees,Blue Jays,1,8,1,6,12,0
2012-03-08,Pirates,Phillies,4,10,1,5,9,1
2012-03-08,Rays (SS),Twins,1,4,1,0,5,1
2012-03-08,Marlins,Mets,5,9,1,4,9,0
2012-03-08,Angels,Indians,6,12,2,5,5,1
2012-03-08,White Sox,Rangers,6,7,0,3,9,1
2012-03-08,Reds,Brewers,8,14,0,6,11,2
2012-03-08,Athletics,Dodgers,2,5,1,7,8,0
2012-03-08,Mariners,Cubs,10,14,2,3,8,1
2012-03-08,Giants,Padres,5,,,2,,
2012-03-08,Royals,Rockies,5,10,0,0,7,0
2012-03-09,Braves (SS),Yankees,0,5,0,3,8,0
2012-03-09,Orioles,Rays,3,7,0,3,8,0
2012-03-09,Mets,Braves (SS),5,8,0,3,8,1
2012-03-09,Phillies,Tigers,7,11,1,5,12,2
2012-03-09,Cardinals,Twins,3,9,0,2,6,0
2012-03-09,Blue Jays,Astros,11,15,1,2,6,0
2012-03-09,D-backs,Mariners,8,11,0,5,12,0
2012-03-09,Cubs,White Sox,5,8,1,1,4,0
2012-03-09,Reds (SS),Giants,3,,,6,,
2012-03-09,Indians,Brewers,2,3,0,12,16,1
2012-03-09,Royals,Reds (SS),1,6,0,5,6,0
2012-03-09,Dodgers,Rangers,9,16,1,0,7,0
2012-03-09,Padres,Angels,6,10,0,3,8,0
2012-03-09,Athletics,Rockies,6,12,0,4,9,0
2012-03-09,Pirates,Red Sox,7,10,1,4,12,0
2012-03-09,Nationals,Marlins,0,4,0,3,9,0
2012-03-10,Orioles,Phillies,1,5,0,0,6,0
2012-03-10,Astros,Blue Jays,2,8,1,5,10,2
2012-03-10,Twins,Pirates,4,6,1,2,11,0
2012-03-10,Yankees,Braves,8,15,2,3,8,2
